"","...1","id","text","video_id","label"
"1",1,"UgxC215X-6cJ8_a1Yy54AaABAg","А есть возможность скачать ноутбук?",1,FALSE
"2",2,"UgwJkeVpQZZZxvnj_uB4AaABAg","Спасибо большое за видео, все по полочкам ??",2,FALSE
"3",3,"UgxorcsjmRoUIUWOUZR4AaABAg","а где анонс набора на курс?",2,FALSE
"4",4,"UgzpL-Gta-HuzUamzaN4AaABAg","Познавательно  :)",4,FALSE
"5",5,"Ugw8xeiFmti1ixr71Tx4AaABAg","У меня всего один вопрос: где мне найти такую девушку?",5,TRUE
"6",6,"UgzOZbhxVnX5IUiXtzd4AaABAg","Очень часто одно из требований у работодателей - это бакалавр в комп науках. Не видела вакансий без бакалавра",6,FALSE
"7",7,"Ugz3plsDT7I1viNbxxZ4AaABAg","Добрый день,Александр на связи.Большое спасибо за информативное видео.Мне бы хотелось побольше узнать о подразделениях в IT творческих.Либо,где совсем нет математики,либо ее самый минимум.Очень интересна игровая сфера,сфера фото,видео,артов и все в таком духе.Прошу прощения,не знаю как все называется по научному.Хотелось бы увидеть своего рода древо творческих направлений в IT.Спасибо за труд.Подписался.",1,FALSE
"8",8,"UgyUVvCWerTds4Mr2Kd4AaABAg","добрый день. про аналитику сказали, что требуется много, а какой доход? ??",1,FALSE
"9",9,"Ugw4EyGhPDEyJhNvv-l4AaABAg","Кайф!",2,FALSE
"10",10,"UgxTuMRpB_wktDXdWJR4AaABAg","Замечательное видео) Творческих успехов Вам!",3,FALSE
"11",11,"Ugz412kN0V7o4atHm9d4AaABAg","очень классный и необычный формат, хочу ещё!",5,FALSE
"12",12,"UgwYfuO2B6YSoj_We3d4AaABAg","Даш что за красивый термина на маке ты юзаешь? Это стандартный, или како-то другой?",5,FALSE
"13",13,"UgyOlRe17G9oFLkBk3d4AaABAg","я так скучала, спасибо за это видео и живое ощущение. ты лучшая. смотря на тебя, хочется жить",5,FALSE
"14",14,"UgxcNc5c74mBNd5wPox4AaABAg","очень крутой формат видео, мне нравятся все эти нововведения!! И разные ракурсы тоже оно! Продолжай, очень интересно за тобой наблюдать!!",5,FALSE
"15",15,"UgxliVIqLiMf3wFgoH94AaABAg","Даша, классные видео! Но твои видео поддерживают прокрастинацию у других людей вроде меня) В моменты когда ты закрываешь пол минуты программы на своем компе и рассказываешь про Cmd+Q, я не понимаю почему я на твоем канале и продолжаю смотреть) Тем не менее спасибо за то, что ты снимаешь. З.Ы. Футболка забавная",5,FALSE
"16",16,"UgzmnT9Nn0RmCKbV1sB4AaABAg","Тон немножко не твой, кожа прям выбеленная 

(Вычленила она из оч крутого видео одну пустяковую фигню ??)",5,FALSE
"17",17,"UgyfI0L3Dn4-tN19CaN4AaABAg","Да, очень нравится такой формат. Как будто вместе с тобой провела спокойный вечер",5,FALSE
"18",18,"UgwlgnLPVE-y3MUDbQd4AaABAg","Люблю твои видео, формат классный",5,FALSE
"19",19,"UgzPOfoX3AKVsbx84JN4AaABAg","Тоже была счастлива за истории на двух языках
Теперь я не только в теме того, что происходит, но ещё и новые слова запоминаю
Спасибо тебе за это!",5,FALSE
"20",20,"UgwgeGUw2IpgIb1bRoh4AaABAg","выпуск топ, василиса крута",6,FALSE
"21",21,"UgwL0PH7SctbhDpgUbt4AaABAg","Начать нужно с Front End )))
И лучше там остаться )))",7,FALSE
"22",22,"UgwRAscpfcnAhruBzQB4AaABAg","Почему я не родился в США?",8,FALSE
"23",23,"UgySYLx55vrs0LF3AIF4AaABAg","Что-то не услышал про возврат налогов. На самом деле даже холостому парню/незамужней девушке платящей достаточно много налогов (в районе 37%) можно просто подать декларацию и получить чуть меньше трети от этих 37% обратно. Так что даже для самой ущербной налоговой категории эффективный налог где-то в районе 25-28% получается, что для зп в 120к выходит неплохо.",8,FALSE
"24",24,"UgxJUL73WRTwsDpvvgV4AaABAg","10 дней отпуска, вообще не серьезно.",8,FALSE
"25",25,"UgwJmjF_nIhaISjzoMJ4AaABAg","Почему финансы - это ""сфера ответственности"" мужчины? Уверенность в себе не должна зависеть от того, зарабатываешь ты больше своего партнера или нет. Пол здесь роли не играет. А забота выражается уж точно не через финансы.",10,FALSE
"26",26,"Ugwbh3lWqcD5TjTbbNl4AaABAg","Круто !!!????",11,FALSE
"27",27,"UgzDYqW2VVH1yHMBfN94AaABAg","голубую карту выдают не только айтишникам, физикам и биологам, а любой профессии с высшим образованием, в том числе и экономистам. Критерий голубой карты - это зарплата и она должна быть забубенная. На данный момент что-то около 4.700 евро в месяц. Вы назвали какую-то очень низкую границу (40 с лишних тыщ в год). Такая граница действует для так называемых Mangelberufe, куда действительно сходят айтишники, физики и биологи. Но вот экономисты не входят. В итоге разница между голубой картой и простой рабочей визой - срок, когда можно подавать на ПМЖ. С голубой картой - через 36 месяцев, насколько я помню, с рабочей визой - через 5 лет.",12,FALSE
"28",28,"UgzwabCZoa-bvxtri-54AaABAg","я могу претендовать на голубую карту, тут нет вопросов, но что на счет супруги? у нее образование гуманитария, в it пока джун, на что она может рассчитывать при переезде со мной? может ли она работать или ей самой получать рабочую визу?",12,FALSE
"29",29,"UgwGMMS2CikdwzAWMyt4AaABAg","А зачем туда ехать ,если сегодня у нас для программистов огромные возможности.Тут и работы много и вакансий , и оплата высокая,совсем не проблема с такими зарплатами купить жилье ,что тянет так некоторых за рубеж?",12,FALSE
"30",30,"UgxbbmXxmdx9xU8Kj3V4AaABAg","Wirtschaftinformatiker - подходит по ИТ направлению, как я понимаю? У меня такое же образование(только институт H+-=, но я пошёл в сферу железа. Иногда задумываюсь релокейт в Германию.",12,FALSE
"31",31,"UgxjKrbAFnkRbdgka7d4AaABAg","учу питон по книге Эрика Мэтиза. Залетает на ура. Перед тем, как начать учить программирование, нужно выбрать направление конкретное и следовать ему) Чтобы программы были реальными)",13,FALSE
"32",32,"UgxGuF4oxbFIiW9cDel4AaABAg","Оденься сначала",14,TRUE
"33",33,"Ugxi8mWk6WFfaTCjQfR4AaABAg","Мне кажется зря питон , для заработка на фрилансе под веб проще будет найти заказы на php ,  
а просто для качественного и приятного программирования  я бы взял c# (на то есть 100500 причин)",15,FALSE
"34",34,"UgzQprVdeUQ0L2vPo6V4AaABAg","ребята! на этом канале я перестала снимать видео на русском - для этого создала новый канал исключительно на русском языке! ?? https://youtu.be/nSfMKQbgr_A",16,FALSE
"35",35,"UgywQ213KB7v8bE4b4p4AaABAg","приезжай, Малышка, ко мне. попитоним вместе!",16,TRUE
"36",36,"Ugz6MKSISRU7Tfce78t4AaABAg","С чего начать программирования... 
Не с просмотра этого ролика!!!",16,FALSE
"37",37,"Ugx0hxJJWVePHEfdQ714AaABAg","Я тоже хочу толстовку с гитхаб-котиком ??",17,FALSE
"38",38,"UgwmrRF6zvyEQsr43jl4AaABAg","Смешно и познавательно)",17,FALSE
"39",39,"UgzoI_7IcUcMggHMNuV4AaABAg","Ну, вот. А говорят, что красивые девушки не бывают умными))) Бывают!",17,TRUE
"40",40,"Ugx6DuvGI0MWZE6IPp14AaABAg","Erlang ??",17,FALSE
"41",41,"Ugylt8Rigv8pdql04sJ4AaABAg","Красивая ????",18,FALSE
"42",42,"UgzUuYbu8gVcZhQ6ZQF4AaABAg","Да вы правы
Самый лучший способ учиться любой программирование это - «само учится»
Курсы не помогает!!!",18,FALSE
"43",43,"UgyPD5zD7hLnJP7z1UN4AaABAg","""Попробовать версту html программирование"" ??",18,FALSE
"44",44,"UgzoqpKqBb-akwt0apV4AaABAg","Какая хорошая девочка!!! Я по образованию бухгалтер, а остальное выучил сам.
Работаю сисадмином, плюс имею несколько дипломов по SQL сервер + знаю T-SQL, 4 месяца назад сам отремонтировал простую поломку на серверной материнке, сейчас изучаю яву - хочу кодить! лет 10 назад нравилось писать на wshshell+T-SQL",18,FALSE
"45",45,"Ugxo2DhSY1yKmRRfEgt4AaABAg",""""" 
Если хотите выбросить деньги на ветер, обратите внимание на эти дно-конторы:
https://prog.kiev.ua/ 
https://edu.cbsystematics.com/
https://itea.ua/ 

""""
-- это не профессионально и не этично так писать о компаниях.",18,FALSE
"46",46,"UgxfNoKh_hqs3uLKkHx4AaABAg","Программировать нужно учиться на чужом коде. Не просто купить книгу и читать её два месяца, а тупо садиться за комп, придумать себе учебный проект и на примерах писать свой код. Только так.
Теперь про курсы. Ну вот ты научился, даже что-то разработал, как попасть на работу? А на работу попасть через тупую овцу HR менеджера, для которых люди и проходят подобные курсы, только ради сертификатов. Шкуру HR не интересует ваш опыт, знания, острый ум, только диплом и сертификаты, чем их больше, тем больше шанс попасть на собеседование к потенциальному начальнику отдела IT с которым уже можно поговорить о чем то. Вот отсюда и получается, сидят опытные разработчики с 10 -15 летним стажем на курсах для новичков, только ради этих сраных сертификатов.",18,TRUE
"47",47,"UgxtVUFBzfniEgT8_wR4AaABAg","1) html academy
2) javascript.ru 
3) MDN 
4) Усидчивость и 30 часов времени.
5) Отверстать 10 сайтов. (рандомные шаблонные дизайны с интернета)

Этого хватит чтоб стать фронтенд разработчиком.",18,FALSE
"48",48,"UgxAHeArRHrVybq46V14AaABAg","Айса, ты очень красивая, смелая и умная девушка. Я желаю тебе всего наилучшего.",20,FALSE
"49",49,"Ugxp9vsfViM-J_r8a0p4AaABAg","Да круто. Интеллект сказывается на внешности. Выглядишь на 20 лет",20,FALSE
"50",50,"Ugzt_MsIQ1m8Yi7IeMh4AaABAg","Мне 46. Решил учиться. Естественно с Веб начал. Семья, дети - времени ваще нет. Вопрос: если к 47 чему-то научусь (фронтэнд и т.д.),  возьмут по возрасту? Или шансы у плинтуса? Стройка надоела мне ??",20,FALSE
"51",51,"UgxPXOgAxZbKeXPfkjF4AaABAg","Женщина -программист? Ты че, прикалываешься?",21,TRUE
"52",52,"UgyEwpfbIoHvuLesTFh4AaABAg","СИКП - Структура и Интерпретация Компьютерных Программ. Пожалуй лучшая из фундоментальных.",21,FALSE
"53",53,"UgxSYG2kt6ws7rw7keF4AaABAg","В Австралию ппц как сложно иммигрировать",22,FALSE
"54",54,"UgzAR8YCyj7gA_KKck94AaABAg","Я ни разу не айтишник ??, но смотрю этот канал с большим удовольствием. Это чертовски интересно! Виктория, спасибо!",22,FALSE
"55",55,"Ugx3Y4rlk5d2Xt2S4VJ4AaABAg","Вика, спасибо за выпуск. А работу в IT-консалтинге ты относишь к IT ? Например, в Германии не упоминалась SAP, являющейся мощной точкой притяжения ИТ-консультантов.",22,FALSE
"56",56,"UgyBvumhSFvE_lryxc54AaABAg","Очень крутой анализ, еще помню было похожее  сравнение городов СНГ. Мне кажется, что было бы мега круто провести сравнение этих 5 стран с более дешевыми для жизни странами, в том числе и СНГ.",22,FALSE
"57",57,"UgykZ8kM-3ea8HzG94Z4AaABAg","даша ты где",24,FALSE
"58",58,"UgwPSNiDtjd0HHte9RF4AaABAg","Даша, спасибо за это видео, тебя приятно слушать, а главное понятно то, о чем говоришь.",24,FALSE
"59",59,"UgzDMMqm0r-KjlQYbRp4AaABAg","Дашааа, расскажи о языках программирования, которые знаешь, что думаешь о них,очень интересно узнать твоё мнение)))) и спасибо за вдохновение ❤",24,FALSE
"60",60,"UgwEpJelsi6_PrPijK54AaABAg","Очень во время, как раз  решилась идти на программирование, видео действительно зашло) Серия видео о программировании - то, что нужно! Было бы интересно узнать о хороших и удобных, на твой взгляд, ресурсах для программистов (как начинающих, так и для тех, кто уже в теме), а так же чуть подробнее о том, какие предметы вы изучаете и что тебе нравится больше и наоборот (думаю, хоть и косвенно, но такая тема стала бы не плохой мотивацией). Спасибо)",24,FALSE
"61",61,"UgwP2Z0ut-qyo4UDm3V4AaABAg","Даша, спасибо большое!!! Очень интересно , получала азы программирования несколько лет назад и очень нравилось, теперь задумалась продолжить эту тему",24,FALSE
"62",62,"UgyK0y6RZc6xpMPVoFR4AaABAg","сколько лет девушке?",25,FALSE
"63",63,"Ugx0a7eaRwpgAeAxQi54AaABAg","Мне кажется любой может стать программистом из-за свободного доступа информацию, ведь программирование можно также научится на практике",26,FALSE
"64",64,"UgzFkXjRWREjVfg_Mep4AaABAg","Вика, очень клевый звук и монтаж, прямо-таки другой уровень. Девчонки в айти это кул.",26,TRUE
"65",65,"UgxCrT_LHmAk5jrxTMx4AaABAg","нет слов
 одни эмоции 
не зря я не беру девушек на работу",27,TRUE
"66",66,"UgycDSxRGj6q1Ecxc954AaABAg","У меня немного другой опыт - выучил верстку и первый заказ получил на Upwork за 10$/час, а потом уже украинские реалии дали по лицу) Уверенное знание английского сильно решает. Странно, что об этом ни слова.",27,FALSE
"67",67,"Ugy5b8CBa94CaVii89l4AaABAg","Вы очень красивая и умная девушка. У Вас все получится.",27,FALSE
"68",68,"UgxuC6hbHEkpqWlRbqh4AaABAg","А где нормальные курсы?",28,FALSE
"69",69,"UgwJLio_yCNeU2NVV254AaABAg","баба в айти как мужик генеколог",28,TRUE
"70",70,"UgwPHvHZl_4_0teXOHF4AaABAg","Не читайте хабрахар и не смотрите видео с русскоязычными блогерами. Это вредно в отличие от вузов",28,FALSE
"71",71,"UgxzFAPOvuTb-Zz_hUZ4AaABAg","Героиню тяжело слушать?? Слишком монотонное повествование ...",29,FALSE
"72",72,"UgyiYqgH5bD_quUEoKV4AaABAg","Обидеть программиста может каждый. Достаточно попросить починить калькулятор.",29,FALSE
"73",73,"UgxHwI_OHUbmTW5QBFV4AaABAg","Java - больше для бэкенда сатов ? Шта ? тот же пхп или С# или пайтон. Java  да для бекенда но не сайтов а инфраструктуры компаний и програмные продукты есть на Jav-e. И Джавасприпт уже давно умеет в бєкенд (тотже НодДЖс) так что какой она программист я хз.",29,FALSE
"74",74,"UgwPVfHM8kzPKdv5uBh4AaABAg","а что за программист девушка которая,  тоже html ?",29,FALSE
"75",75,"UgyvWKYu4WoKTwCJA4J4AaABAg","Это не программисты, это распындяи",29,FALSE
"76",76,"UgxUdDgT97CPkRttvLN4AaABAg","девушка кодер да еще и дотер (может вообще сидит на дваче). нормально я словил коконатс",29,TRUE
"77",77,"UgwWFCgbmiZFxxcdfIB4AaABAg","Прикольный канал ???????????????? уже почти все посмотрела",29,FALSE
"78",78,"UgyEfeQXQBxWbo6ItCN4AaABAg","Боже, что она иногда несет...?!",29,FALSE
"79",79,"UgymlH2FIaDRNsxCwJV4AaABAg","мозерлод :)",29,FALSE
"80",80,"Ugwj85mEKXUYX-IllmR4AaABAg","Лол, курсы GeekBrains недавно слили ??",29,FALSE
"81",81,"Ugy8rJ-Hpqr5Plu0zg94AaABAg","Девушке приходится объяснять, не ""почему она - программист"", а почему она посмела зарабатывать больше, чем парень, который её задал этот вопрос",29,FALSE
"82",82,"Ugyr_RN2RmKU_ecNZEd4AaABAg","А када будет видео что бесит проституток?",29,FALSE
"83",83,"UgyUD3jh0aKyDSXmaXJ4AaABAg","Ставлю Vice City, только Motherlode есть ещё и в Симсе.",29,FALSE
"84",84,"Ugzjb9YxrVnEcR_kQTd4AaABAg","Научно-технический рэп - тыжпрограммист",29,FALSE
"85",85,"UgwQ_MLn-zoQDzpXEZV4AaABAg","14:47 Для чего второй транзакции объявляете такой же уровень, они ничего не читает. Вы уверены, что разбираетесь в транзакциях?",31,FALSE
"86",86,"Ugw2dpyP5rXaILxKRwx4AaABAg","спасибо тебе огромное!",31,FALSE
"87",87,"UgzNNJs7qiU7Q1Mr_t94AaABAg","Благодарю за видео, вот хочу на собес сходить как раз)",31,FALSE
"88",88,"UgwyvYTlZbPan6E4nBF4AaABAg","Ура, понятная теория умными словами!",31,FALSE
"89",89,"UgyPEbIjbp5_9LhE3WF4AaABAg","I wish I knew what she's saying. :/",32,FALSE
"90",90,"Ugz67uVsyEFd-nN9KAh4AaABAg","С какого языка начинать? С Английского!",32,FALSE
"91",91,"UgxQRLnJRnTFk3lhyZV4AaABAg","По моему, программирование это для людей с чисто математическим складом ума = увлекает математика, отсюда информатика, как итог программирование. Не представляю иначе.",32,FALSE
"92",92,"Ugy-ykC9T-8iL0NOx-N4AaABAg","Говори про программирование больше)",32,FALSE
"93",93,"Ugyw_Nra9Pm9RnPf7UN4AaABAg","Так по домашнему, Дашаааа??❤, ураааа, я почувствовала тебя моим другом с которым давно не виделись и он мне рассказал, что нового. Спасибо, Даш за контент, очень интересно, хоть и программирование, я не изучаю. Буду ждать, влоги ??❤
Тебя очень интересно слушать, ты очень умная, спасибо ❤
Для меня ты мотиватор ❤",32,FALSE
"94",94,"Ugxx5btKKM_LWrTbFoF4AaABAg","Даша ваши видео о программировании очень интересны !  Не могли бы вы рассказать  для начинающих ""самоучек""  так сказать с чего лучше начать !  Я университет закончила по другой специальности ! И хочу пойти на курсы , но их настолько много!  И мне интересно как для начинающего в этой отрасли , какие азы должен знать человек или какие ""языки"" должны быть первыми так сказать БАЗА ( и что входит в эту базу)! 

 Расскажите с чего вы начинали в университете , какой материал вам давали сначала !

В общем эта тема очень интересна ! 
Спасибо за ваше время!)",32,FALSE
"95",95,"UgxfkWYWffBGX4rDGn54AaABAg","Очень информативное видел )) но как же не хватает кадров НЙ и просто твоей рутины ??",32,FALSE
"96",96,"UgyDuETCpQsYVJjQNNl4AaABAg","Красиво рассказываешь и видно что тебе это нравится)",32,FALSE
"97",97,"UgyT8nMN80LrPviWBBN4AaABAg","А штанишки?(",32,FALSE
"98",98,"UgzD6ycq5HeMr9aOFYp4AaABAg","Спасибо за прекрасное видео! Глоток вдохновения в серые будни. ❤",32,FALSE
"99",99,"UgxKHutPv29VjA6vvhx4AaABAg","Вилка,стак,инсайт…трясёт от этих выражений, можно же обычным языком выражаться.",33,FALSE
"100",100,"Ugx0hVvhpzP2IOHZQwp4AaABAg","А что, действительно, при знании английского языка зарплата возрастает в 2 раза?",33,FALSE
